study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	fastq_ftp
PRJEB2784	SAMEA1094642	ERS077419	ERX036541	ERR058695	ftp.sra.ebi.ac.uk/vol1/fastq/ERR058/ERR058695/ERR058695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR058/ERR058695/ERR058695_2.fastq.gz
PRJEB2784	SAMEA1094643	ERS079846	ERX040276	ERR062334	
PRJEB2784	SAMEA1094641	ERS079847	ERX040277	ERR062335	
PRJEB2784	SAMEA1094645	ERS079848	ERX040278	ERR062336	
PRJEB2784	SAMEA1094646	ERS079849	ERX040279	ERR062337	
PRJEB2784	SAMEA1094644	ERS079850	ERX040280	ERR062338	
PRJEB2784	SAMEA1499361	ERS158730	ERX140350	ERR164473	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164473/ERR164473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164473/ERR164473_2.fastq.gz
PRJEB2784	SAMEA1499337	ERS158731	ERX140351	ERR164474	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164474/ERR164474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164474/ERR164474_2.fastq.gz
PRJEB2784	SAMEA1499309	ERS158732	ERX140352	ERR164475	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164475/ERR164475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164475/ERR164475_2.fastq.gz
PRJEB2784	SAMEA1499301	ERS158733	ERX140353	ERR164476	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164476/ERR164476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164476/ERR164476_2.fastq.gz
PRJEB2784	SAMEA1499281	ERS158734	ERX140354	ERR164477	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164477/ERR164477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164477/ERR164477_2.fastq.gz
PRJEB2784	SAMEA1499256	ERS158735	ERX140355	ERR164478	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164478/ERR164478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164478/ERR164478_2.fastq.gz
PRJEB2784	SAMEA1499243	ERS158736	ERX140356	ERR164479	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164479/ERR164479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164479/ERR164479_2.fastq.gz
PRJEB2784	SAMEA1499228	ERS158737	ERX140357	ERR164480	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164480/ERR164480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164480/ERR164480_2.fastq.gz
PRJEB2784	SAMEA1499368	ERS158738	ERX140358	ERR164481	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164481/ERR164481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164481/ERR164481_2.fastq.gz
PRJEB2784	SAMEA1499356	ERS158739	ERX140359	ERR164482	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164482/ERR164482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164482/ERR164482_2.fastq.gz
PRJEB2784	SAMEA1499295	ERS158740	ERX140360	ERR164483	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164483/ERR164483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164483/ERR164483_2.fastq.gz
PRJEB2784	SAMEA1499330	ERS158741	ERX140361	ERR164484	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164484/ERR164484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164484/ERR164484_2.fastq.gz
PRJEB2784	SAMEA1499304	ERS158742	ERX140362	ERR164485	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164485/ERR164485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164485/ERR164485_2.fastq.gz
PRJEB2784	SAMEA1499377	ERS158743	ERX140363	ERR164486	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164486/ERR164486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164486/ERR164486_2.fastq.gz
PRJEB2784	SAMEA1499360	ERS158744	ERX140364	ERR164487	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164487/ERR164487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164487/ERR164487_2.fastq.gz
PRJEB2784	SAMEA1499259	ERS158745	ERX140365	ERR164488	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164488/ERR164488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164488/ERR164488_2.fastq.gz
PRJEB2784	SAMEA1499238	ERS158746	ERX140366	ERR164489	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164489/ERR164489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164489/ERR164489_2.fastq.gz
PRJEB2784	SAMEA1499225	ERS158747	ERX140367	ERR164490	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164490/ERR164490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164490/ERR164490_2.fastq.gz
PRJEB2784	SAMEA1499290	ERS158748	ERX140368	ERR164491	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164491/ERR164491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164491/ERR164491_2.fastq.gz
PRJEB2784	SAMEA1499267	ERS158749	ERX140369	ERR164492	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164492/ERR164492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164492/ERR164492_2.fastq.gz
PRJEB2784	SAMEA1499308	ERS158750	ERX140370	ERR164493	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164493/ERR164493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164493/ERR164493_2.fastq.gz
PRJEB2784	SAMEA1499312	ERS158751	ERX140371	ERR164494	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164494/ERR164494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164494/ERR164494_2.fastq.gz
PRJEB2784	SAMEA1499338	ERS158752	ERX140372	ERR164495	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164495/ERR164495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164495/ERR164495_2.fastq.gz
PRJEB2784	SAMEA1499274	ERS158753	ERX140373	ERR164496	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164496/ERR164496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164496/ERR164496_2.fastq.gz
PRJEB2784	SAMEA1499289	ERS158754	ERX140374	ERR164497	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164497/ERR164497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164497/ERR164497_2.fastq.gz
PRJEB2784	SAMEA1499229	ERS158755	ERX140375	ERR164498	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164498/ERR164498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164498/ERR164498_2.fastq.gz
