"geneid","gene_index","padj","SYMBOL"
"ENSG00000164330",18061,1.56004329622596e-59,"EBF1"
"ENSG00000234518",2227,1.23782833972823e-56,"PTGES3P1"
"ENSG00000175166",12546,1.45792215695678e-53,"PSMD2"
"ENSG00000259447",44853,5.327490189436e-51,"RP11-462P6.1"
"ENSG00000262855",49277,2.06799447827477e-45,"RP11-46I8.4"
"ENSG00000287199",15916,3.33335079458492e-45,NA
"ENSG00000172167",29044,4.41750279134344e-45,"MTBP"
"ENSG00000172724",30008,4.94820056023242e-45,"CCL19"
"ENSG00000282975",11595,6.30011589150905e-44,"RP11-59J16.3"
"ENSG00000254781",32229,9.06871019891641e-44,"GVINP2"
"ENSG00000235232",8015,4.98288832688873e-43,"MRPS18BP2"
"ENSG00000245729",15688,3.43519213569351e-41,"RP11-480D4.1"
"ENSG00000287006",34667,6.55152960915799e-41,NA
"ENSG00000260806",43719,7.39752066630169e-41,"RP11-872J21.3"
"ENSG00000176083",868,1.02381658884139e-40,"ZNF683"
"ENSG00000281696",4777,2.95788593631283e-40,"MIR664A"
"ENSG00000183631",26428,9.00845983783264e-40,"PRR32"
"ENSG00000260472",47686,2.75629270847193e-39,"CTD-2358C21.2"
"ENSG00000261293",47023,3.67592374359359e-39,"RP11-276H1.2"
"ENSG00000150995",9719,5.02942253341057e-39,"ITPR1"
"ENSG00000274937",45747,5.06477743659983e-39,"CTD-2311M21.4"
"ENSG00000274210",3056,2.09909452790276e-38,"U1"
"ENSG00000257668",39093,2.86668814650959e-38,"RP11-58A17.2"
"ENSG00000252943",29739,2.90353729125985e-38,"RNU6-264P"
"ENSG00000270241",1127,3.78709650885271e-38,"RP4-657M3.2"
"ENSG00000287223",25108,3.78709650885271e-38,NA
"ENSG00000277749",45743,7.22116620175449e-38,"RP11-60L3.6"
"ENSG00000270980",28087,1.027803581352e-37,"RP11-626A5.2"
"ENSG00000215795",5378,1.19012642485801e-37,"RP11-488L18.3"
"ENSG00000287407",21554,1.2524706928091e-37,NA
